,newStudyDay,occupancy,anyCP,CPc,CPcp,CPcd,samples,CDIFF
1,1,20,4,0,2,2,6,1
2,2,20,4,0,2,2,9,2
3,3,20,0,0,0,0,8,3
4,4,20,4,0,2,2,10,2
5,5,20,4,2,2,0,5,0
6,6,19,3,0,1,2,9,2
7,7,19,3,0,1,2,7,0
8,8,17,0,0,0,0,5,0
9,9,16,0,0,0,0,1,0
10,10,19,4,2,2,0,6,0
11,11,19,3,2,1,0,6,0
12,12,20,3,1,1,1,6,0
13,13,20,4,0,1,3,4,0
14,14,20,3,0,1,2,5,0
15,15,20,3,0,2,1,4,0
16,16,20,2,0,2,0,1,0
17,17,18,2,0,2,0,7,0
18,18,19,2,0,2,0,3,0
19,19,20,0,0,0,0,6,0
20,20,18,3,1,2,0,6,0
21,21,13,3,0,2,1,3,0
22,22,17,2,0,2,0,1,0
23,23,18,3,1,2,0,4,1
24,24,20,1,0,1,0,7,3
25,25,20,3,0,2,1,5,1
26,26,20,2,0,2,0,6,1
27,27,20,3,0,2,1,10,1
28,28,18,4,0,2,2,5,1
29,29,20,3,0,2,1,7,1
30,30,19,0,0,0,0,8,1
31,31,20,2,0,2,0,4,0
32,32,16,2,0,1,1,5,0
33,33,17,4,3,1,0,8,0
34,34,17,1,0,1,0,4,0
35,35,20,1,0,1,0,4,0
36,36,19,0,0,0,0,9,0
37,37,20,1,0,1,0,9,0
38,38,16,0,0,0,0,5,0
39,39,15,1,0,1,0,3,0
40,40,18,0,0,0,0,3,0
41,41,16,1,0,1,0,3,0
42,42,19,1,0,1,0,7,0
43,43,17,0,0,0,0,4,0
44,44,17,4,0,1,3,3,0
45,45,15,0,0,0,0,4,0
46,46,17,6,0,2,4,7,0
47,47,18,0,0,0,0,9,0
48,48,20,1,0,1,0,6,0
49,49,20,1,0,1,0,4,0
50,50,20,1,0,1,0,6,0
51,51,20,1,0,1,0,7,0
52,52,19,0,0,0,0,7,0
53,53,20,1,0,1,0,9,0
54,54,20,0,0,0,0,8,0
55,55,20,0,0,0,0,7,0
56,56,18,1,0,0,1,3,0
